GLEAM,flux_227_mhz_error
KUEHR,name
KUEHR,ra
KUEHR,dec
KUEHR,frequency
KUEHR,flux_radio
KUEHR,flux_radio_error
F357det,Name
F357det,RA
F357det,Dec
F357det,RAErr
F357det,DecErr
F357det,IntFlux_VLASS
F357det,IntFluxErr_VLASS
F357det,IntFlux_D5GHZ
F357det,IntFluxErr_D5GHZ
F357det,IsLowerLim_D5GHZ
F357det,IntFlux_D7GHZ
F357det,IntFluxErr_D7GHZ
F357det,IsLowerLim_D7GHZ
F357det,Alpha
F357det,AlphaErr
F357det,Fermi_Name
PMN,name
PMN,ra
PMN,dec
PMN,flux_4850_mhz
PMN,flux_4850_mhz_error
PMN,extended_flag
GB87,RAJ2000
GB87,DEJ2000
GB87,e_RAs
GB87,e_DEs
GB87,Flux
GB87,e_Flux
GB87,Eflag
GB87,Wflag
GB87,Cflag
GB6,name
GB6,ra
GB6,dec
GB6,ra_error
GB6,dec_error
GB6,flux_6_cm
GB6,flux_6_cm_error
GB6,border_flag
GB6,extent_flag
GB6,confusion_flag
GB6,weak_flag
AT20G,AT20G
AT20G,RAJ2000
AT20G,DEJ2000
AT20G,S20
AT20G,e_S20
AT20G,S8
AT20G,e_S8
AT20G,S5
AT20G,e_S5
AT20G,Q
AT20G,Flags
ATPMN,name
ATPMN,ra
ATPMN,dec
ATPMN,ra_accuracy
ATPMN,dec_accuracy
ATPMN,flux_3p5_cm
ATPMN,flux_3p5_cm_error
ATPMN,flux_6_cm
ATPMN,flux_6_cm_error
ATPMN,fit_flag
NORTH20,WB
NORTH20,_RA.icrs
NORTH20,_DE.icrs
NORTH20,S1.4
NORTH20,n_S1.4
NORTH20,S4.85
NORTH20,n_S4.85
NORTH20,S.365
NORTH20,cFlg
CRATES,name
CRATES,ra
CRATES,dec
CRATES,flux_3p6_cm
CRATES,ctrpart_3p6_cm
CRATES,flux_6_cm
PCCS44,name
PCCS44,ra
PCCS44,dec
PCCS44,flux
PCCS44,flux_error
PCCS44,det_flux
PCCS44,det_flux_error
PCCS70,name
PCCS70,ra
PCCS70,dec
PCCS70,flux
PCCS70,flux_error
PCCS70,det_flux
PCCS70,det_flux_error
PCCS100,name
PCCS100,ra
PCCS100,dec
PCCS100,flux
PCCS100,flux_error
PCCS100,det_flux
PCCS100,det_flux_error
PCCS143,name
PCCS143,ra
PCCS143,dec
PCCS143,flux
PCCS143,flux_error
PCCS143,det_flux
PCCS143,det_flux_error
PCCS217,name
PCCS217,ra
PCCS217,dec
PCCS217,flux
PCCS217,flux_error
PCCS217,det_flux
PCCS217,det_flux_error
PCCS353,name
PCCS353,ra
PCCS353,dec
PCCS353,flux
PCCS353,flux_error
PCCS353,det_flux
PCCS353,det_flux_error
PCNT,Name
PCNT,RAJ2000
PCNT,DEJ2000
PCNT,Flux030
PCNT,e_Flux030
PCNT,Flux044
PCNT,e_Flux044
PCNT,Flux070
PCNT,e_Flux070
PCNT,Flux100
PCNT,e_Flux100
PCNT,Flux143
PCNT,e_Flux143
PCNT,Flux217
PCNT,e_Flux217
PCNT,Flux353
PCNT,e_Flux353
PCNT,Flux545
PCNT,e_Flux545
PCNT,Flux857
PCNT,e_Flux857
PCNT,SNR030
PCNT,SNR044
PCNT,SNR070
PCNT,SNR100
PCNT,SNR143
PCNT,SNR217
PCNT,SNR353
PCNT,SNR545
PCNT,SNR857
ALMA,ALMA_name
ALMA,RA
ALMA,DEC
ALMA,Flux_density
ALMA,Error_Flux_density
ALMA,Frequency
ALMA,Date_of_observation
WISE,col_0
WISE,col_1
WISE,col_2
WISE,col_3
WISE,col_4
WISE,col_16
WISE,col_20
WISE,col_24
WISE,col_28
WISE,col_17
WISE,col_21
WISE,col_25
WISE,col_29
WISE,col_59
WISE,col_55
WISEME,col_2
WISEME,col_3
WISEME,col_10
WISEME,col_11
WISEME,col_14
WISEME,col_17
WISEME,col_20
WISEME,col_12
WISEME,col_15
WISEME,col_18
WISEME,col_21
WISEME,col_1
NEOWISE,col_0
NEOWISE,col_1
NEOWISE,col_42
NEOWISE,col_18
NEOWISE,col_22
NEOWISE,col_19
NEOWISE,col_23
NEOWISE,col_115
2MASS,designation
2MASS,ra
2MASS,dec
